               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.040649,           0.0098996,                   0,             0.86952,             0.89316,              0.9457,             0.52829,            0.035505,           0.0067861,                   0,             0.00472,             0.00472,             0.00472
                  66,            0.040092,            0.010219,                   0,             0.88734,             0.90722,             0.94854,             0.51237,             0.03207,           0.0068073,                   0,           0.0046375,           0.0046375,           0.0046375
                  67,            0.036962,            0.009111,                   0,             0.94642,             0.91053,              0.9681,             0.53139,            0.031781,           0.0067784,                   0,            0.004555,            0.004555,            0.004555
                  68,            0.036087,           0.0097071,                   0,             0.91942,              0.8866,             0.95134,             0.56278,            0.029565,           0.0066796,                   0,           0.0044725,           0.0044725,           0.0044725
                  69,            0.035068,           0.0096796,                   0,             0.92066,             0.89691,             0.96341,              0.5437,            0.032902,           0.0065565,                   0,             0.00439,             0.00439,             0.00439
                  70,             0.03639,           0.0095743,                   0,             0.97937,             0.91753,             0.98656,             0.62858,            0.028052,             0.00652,                   0,           0.0043075,           0.0043075,           0.0043075
                  71,            0.033377,           0.0088056,                   0,             0.93984,             0.90722,             0.96318,             0.60596,            0.030668,           0.0063962,                   0,            0.004225,            0.004225,            0.004225
                  72,            0.035495,           0.0095311,                   0,               0.938,             0.93588,             0.95802,             0.56609,            0.028778,           0.0063353,                   0,           0.0041425,           0.0041425,           0.0041425
                  73,            0.032644,           0.0078943,                   0,             0.96861,             0.90722,             0.97404,             0.59405,             0.02835,           0.0062439,                   0,             0.00406,             0.00406,             0.00406
                  74,            0.034604,           0.0088887,                   0,             0.97162,             0.90722,             0.98306,             0.57619,            0.029085,           0.0061955,                   0,           0.0039775,           0.0039775,           0.0039775
                  75,            0.034538,           0.0086927,                   0,              0.9383,             0.94068,              0.9614,             0.54767,            0.032029,            0.006137,                   0,            0.003895,            0.003895,            0.003895
                  76,            0.036372,           0.0091822,                   0,             0.94858,             0.95096,             0.97471,             0.59262,            0.028835,           0.0061255,                   0,           0.0038125,           0.0038125,           0.0038125
                  77,            0.035125,           0.0086994,                   0,              0.9961,             0.94845,             0.97655,             0.54844,            0.029826,           0.0060586,                   0,             0.00373,             0.00373,             0.00373
                  78,            0.032275,           0.0092934,                   0,             0.95523,             0.93814,             0.97384,             0.63683,            0.026607,           0.0060722,                   0,           0.0036475,           0.0036475,           0.0036475
                  79,            0.033256,           0.0087061,                   0,             0.94154,             0.92784,             0.95221,             0.59985,            0.028355,           0.0060034,                   0,            0.003565,            0.003565,            0.003565
                  80,            0.031112,           0.0092805,                   0,             0.97869,               0.947,             0.97422,              0.6335,            0.026608,            0.005982,                   0,           0.0034825,           0.0034825,           0.0034825
                  81,            0.031731,           0.0083368,                   0,             0.93898,             0.95188,             0.97608,              0.6169,            0.028086,           0.0059492,                   0,              0.0034,              0.0034,              0.0034
                  82,             0.03014,            0.008135,                   0,             0.96121,             0.95876,             0.98681,             0.66456,            0.025102,           0.0059361,                   0,           0.0033175,           0.0033175,           0.0033175
                  83,            0.030998,           0.0083052,                   0,             0.96278,             0.95876,             0.98513,             0.61829,            0.027573,           0.0059024,                   0,            0.003235,            0.003235,            0.003235
                  84,            0.031435,           0.0087638,                   0,              0.9572,             0.95876,             0.98464,             0.65442,             0.02499,           0.0059205,                   0,           0.0031525,           0.0031525,           0.0031525
                  85,            0.030377,            0.009167,                   0,             0.94872,             0.95372,             0.98483,             0.62354,             0.02519,           0.0058932,                   0,             0.00307,             0.00307,             0.00307
                  86,            0.032907,           0.0084987,                   0,             0.97846,             0.93665,              0.9784,             0.63071,            0.026018,           0.0058419,                   0,           0.0029875,           0.0029875,           0.0029875
                  87,            0.030655,           0.0082371,                   0,             0.95861,             0.95511,             0.98528,             0.59472,            0.027542,             0.00579,                   0,            0.002905,            0.002905,            0.002905
                  88,             0.03097,           0.0079239,                   0,             0.98917,             0.94182,             0.98728,             0.65435,            0.024381,           0.0057614,                   0,           0.0028225,           0.0028225,           0.0028225
                  89,            0.027903,           0.0080107,                   0,             0.97974,             0.94845,             0.98851,             0.65231,            0.025622,           0.0057245,                   0,             0.00274,             0.00274,             0.00274
                  90,            0.027986,           0.0082984,                   0,             0.97887,             0.95505,             0.98012,             0.68148,            0.023622,           0.0057175,                   0,           0.0026575,           0.0026575,           0.0026575
                  91,             0.03003,           0.0092374,                   0,             0.98414,             0.95876,             0.98134,              0.6586,            0.024844,           0.0056843,                   0,            0.002575,            0.002575,            0.002575
                  92,            0.028802,           0.0079837,                   0,             0.99083,             0.96907,             0.99254,             0.69732,            0.023071,           0.0056418,                   0,           0.0024925,           0.0024925,           0.0024925
                  93,            0.025926,           0.0074582,                   0,             0.99429,             0.93814,             0.98033,             0.65138,            0.024502,           0.0056107,                   0,             0.00241,             0.00241,             0.00241
                  94,            0.027958,           0.0080601,                   0,             0.98503,             0.92784,             0.97008,             0.67601,            0.023742,           0.0055921,                   0,           0.0023275,           0.0023275,           0.0023275
