               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.061199,            0.018926,                   0,             0.44914,                0.15,             0.42229,             0.13996,            0.061508,            0.012985,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.071413,            0.021986,                   0,             0.44914,                0.15,             0.42229,             0.13996,            0.061508,            0.012985,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.068816,            0.019182,                   0,             0.44914,                0.15,             0.42229,             0.13996,            0.061508,            0.012985,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.063998,            0.018566,                   0,             0.63017,             0.34149,             0.50481,             0.19758,            0.054919,            0.013423,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.059248,            0.020911,                   0,             0.63017,             0.34149,             0.50481,             0.19758,            0.054919,            0.013423,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.057715,            0.022498,                   0,             0.63017,             0.34149,             0.50481,             0.19758,            0.054919,            0.013423,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.059662,             0.02332,                   0,             0.62298,             0.33159,             0.50776,             0.25839,            0.053999,            0.013397,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.063236,            0.017974,                   0,             0.62298,             0.33159,             0.50776,             0.25839,            0.053999,            0.013397,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.059808,            0.017025,                   0,             0.38105,                0.25,             0.47118,             0.19146,            0.055307,            0.013209,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.060441,            0.017211,                   0,             0.38105,                0.25,             0.47118,             0.19146,            0.055307,            0.013209,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.063027,             0.02183,                   0,             0.38105,                0.25,             0.47118,             0.19146,            0.055307,            0.013209,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.059453,            0.017942,                   0,              0.6671,                 0.5,             0.57195,             0.25143,            0.053817,            0.013144,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.057464,            0.021224,                   0,              0.6671,                 0.5,             0.57195,             0.25143,            0.053817,            0.013144,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.058513,            0.015045,                   0,              0.6671,                 0.5,             0.57195,             0.25143,            0.053817,            0.013144,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.058957,            0.018412,                   0,             0.65963,                 0.5,             0.57729,             0.25607,             0.05098,            0.013329,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.056103,            0.022034,                   0,             0.65963,                 0.5,             0.57729,             0.25607,             0.05098,            0.013329,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.053595,              0.0166,                   0,             0.44199,             0.55463,             0.52657,             0.17679,            0.053402,            0.012871,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.056824,            0.015886,                   0,             0.44199,             0.55463,             0.52657,             0.17679,            0.053402,            0.012871,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.060672,             0.01854,                   0,             0.44199,             0.55463,             0.52657,             0.17679,            0.053402,            0.012871,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.057982,            0.018582,                   0,              0.5585,                0.55,             0.56591,             0.27632,            0.048723,            0.013168,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.056613,            0.019233,                   0,              0.5585,                0.55,             0.56591,             0.27632,            0.048723,            0.013168,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.05177,            0.018333,                   0,              0.5585,                0.55,             0.56591,             0.27632,            0.048723,            0.013168,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.05426,            0.019453,                   0,             0.59419,                0.55,             0.61475,             0.28668,            0.046509,            0.013057,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.051715,            0.020964,                   0,             0.59419,                0.55,             0.61475,             0.28668,            0.046509,            0.013057,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.058716,            0.018177,                   0,             0.49025,             0.57757,             0.55466,             0.23509,            0.050479,            0.012492,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.050304,            0.017261,                   0,             0.49025,             0.57757,             0.55466,             0.23509,            0.050479,            0.012492,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.054733,            0.022194,                   0,             0.49025,             0.57757,             0.55466,             0.23509,            0.050479,            0.012492,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.059947,            0.013461,                   0,             0.53327,                0.55,             0.57211,             0.19666,            0.052339,            0.011661,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.057464,            0.019978,                   0,             0.53327,                0.55,             0.57211,             0.19666,            0.052339,            0.011661,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.062297,            0.018602,                   0,             0.53327,                0.55,             0.57211,             0.19666,            0.052339,            0.011661,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.055254,            0.019717,                   0,             0.57467,                 0.6,             0.59696,             0.21616,            0.050682,             0.01152,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.055359,            0.018517,                   0,             0.57467,                 0.6,             0.59696,             0.21616,            0.050682,             0.01152,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.054631,            0.021722,                   0,              0.6971,                 0.6,             0.70738,             0.30061,            0.047574,            0.011757,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.055734,            0.014958,                   0,              0.6971,                 0.6,             0.70738,             0.30061,            0.047574,            0.011757,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.054572,            0.019911,                   0,              0.6971,                 0.6,             0.70738,             0.30061,            0.047574,            0.011757,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.051964,            0.015276,                   0,             0.86949,                0.55,             0.77564,             0.37759,            0.041719,            0.011998,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.049594,            0.020047,                   0,             0.86949,                0.55,             0.77564,             0.37759,            0.041719,            0.011998,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.047759,            0.015998,                   0,             0.86949,                0.55,             0.77564,             0.37759,            0.041719,            0.011998,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.046556,            0.018783,                   0,              0.9217,             0.58927,             0.75935,             0.37736,            0.041467,            0.011829,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.045253,              0.0148,                   0,              0.9217,             0.58927,             0.75935,             0.37736,            0.041467,            0.011829,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.046418,            0.019051,                   0,             0.84757,             0.55646,             0.79171,             0.31364,            0.044556,            0.011267,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.051034,            0.016385,                   0,             0.84757,             0.55646,             0.79171,             0.31364,            0.044556,            0.011267,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.046027,            0.019258,                   0,             0.84757,             0.55646,             0.79171,             0.31364,            0.044556,            0.011267,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.052608,            0.016351,                   0,              0.7713,                 0.6,             0.69648,             0.24971,            0.048628,            0.010815,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.053943,            0.015892,                   0,              0.7713,                 0.6,             0.69648,             0.24971,            0.048628,            0.010815,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.056907,            0.017086,                   0,              0.7713,                 0.6,             0.69648,             0.24971,            0.048628,            0.010815,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.047404,            0.016224,                   0,             0.86519,             0.64227,             0.82201,             0.44626,            0.043029,               0.011,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.048037,            0.013621,                   0,             0.86519,             0.64227,             0.82201,             0.44626,            0.043029,               0.011,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.045628,            0.016127,                   0,             0.80881,                0.65,              0.7746,             0.25099,            0.053841,           0.0097566,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.061841,            0.014813,                   0,             0.80881,                0.65,              0.7746,             0.25099,            0.053841,           0.0097566,                   0,             0.00604,             0.00604,             0.00604
